NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
TE OFRECEMOS SEÑOR;633;;OFERTÓRIO;
TE OFRECEMOS SEÑOR;633;;;
BENDIZE Ó MINH'ALMA;634;;AÇÃO DE GRAÇAS;
BENDIZE Ó MINH'ALMA;634;;;
Em espírito e verdade;635;;ADORAÇÃO;
EM ESPÍRITO E VERDADE;635;;;
COMO SÃO BELOS OS PÉS DO MENSAGEIRO;636;;;
YO NO SOY NADA;637;;PERDÃO;
YO NO SOY NADA;637;;;
EXISTE UM TEMPO;638;;AÇÃO DE GRAÇAS;
EXISTE UM TEMPO;638;;;
SENHOR TU ÉS;639;;LOUVOR;
SENHOR TU ÉS;639;;ANIMAÇÃO;
SENHOR TU ÉS;639;;;
CUANDO UN NIÑO;640;;AÇÃO DE GRAÇAS;
CUANDO UN NIÑO;640;;MISSÃO;C
CUANDO UN NIÑO;640;;;
CONFIEMO-NOS AO SENHOR;641;;;
JESUS ESTÁ AQUI;642;;ADORAÇÃO;
JESUS ESTÁ AQUI;642;;LOUVOR ADORAÇÃO;
JESUS ESTÁ AQUI;642;;;
SENHOR AQUI ESTAMOS;643;;INTERCESSÃO;
SENHOR AQUI ESTAMOS;643;;;
VENHO SENHOR MINHA VIDA OFERECER;644;;OFERTÓRIO;
VENHO SENHOR MINHA VIDA OFERECER;644;;;
ALFA ÔMEGA;645;;;
NESTE DIA;646;;OFERTÓRIO;
NESTE DIA;646;;;
EM NOME DO PAI (Que nos criou);647;;ENTRADA;
EM NOME DO PAI (Que nos criou);647;;;
LODATE BENEDITE;648;;AÇÃO DE GRAÇAS;
LODATE BENEDITE;648;;ADORAÇÃO;
LODATE BENEDITE;648;;LOUVOR ADORAÇÃO;
LODATE BENEDITE;648;;;
DONNA DELL'ATTESA;649;;;
PADRE SORGENTE DI VITA;650;;REFRÕES;
PADRE SORGENTE DI VITA;650;;TRINDADE;G
PADRE SORGENTE DI VITA;650;;;
O QUE HÁ DE VERDADEIRO;651;;AÇÃO DE GRAÇAS;
O QUE HÁ DE VERDADEIRO;651;;ADORAÇÃO;
O QUE HÁ DE VERDADEIRO;651;;;
CRÉIO SÓ EM TI;652;;OFERTÓRIO;
CRÉIO SÓ EM TI;652;;INTERCESSÃO;
CRÉIO SÓ EM TI;652;;;
COMO TU SENHOR;653;;OFERTÓRIO;
COMO TU SENHOR;653;;;
MINHA ALMA GLORIFICA (Refrão jubileu);654;;AGRADECIMENTO;
MINHA ALMA GLORIFICA (Refrão jubileu);654;;LOUVOR ADORAÇÃO;
MINHA ALMA GLORIFICA (Refrão jubileu);654;;;
DIANTE DE TI (Abençoa teus filhos);655;;;
TODA MANHÃ;656;;AÇÃO DE GRAÇAS;
TODA MANHÃ;656;;AGRADECIMENTO;
TODA MANHÃ;656;;;
VENHA VIVER UMA GRANDE;657;;;
DEUS PAI EU ESTOU AQUI;658;;ENTRADA;
DEUS PAI EU ESTOU AQUI;658;;TRINDADE;C
DEUS PAI EU ESTOU AQUI;658;;ANIMAÇÃO;C
DEUS PAI EU ESTOU AQUI;658;;;
APLAUDI;659;;FINAL;
APLAUDI;659;;LOUVOR;
APLAUDI;659;;AGRADECIMENTO;
APLAUDI;659;;ANIMAÇÃO;G
APLAUDI;659;;PARA BÊNÇÃO;
APLAUDI;659;;;
PRESENÇA DE DEUS;660;;OFERTÓRIO;
PRESENÇA DE DEUS;660;;AÇÃO DE GRAÇAS;
PRESENÇA DE DEUS;660;;REFRÕES;
PRESENÇA DE DEUS;660;;TRINDADE;E
PRESENÇA DE DEUS;660;;;
AS MISERICÓRDIAS;661;;SALMO;
AS MISERICÓRDIAS;661;;FESTA;
AS MISERICÓRDIAS;661;;AGRADECIMENTO;
AS MISERICÓRDIAS;661;;;
VEM ESPÍRITO COM TUA PRECIOSA UNÇÃO    ;662;;ESPÍRITO SANTO;
VEM ESPÍRITO COM TUA PRECIOSA UNÇÃO;662;;;
TODOS REUNIDOS;663;;;
JESUS SALVA;664;;;
ABBA PAI;665;;REFRÕES;
ABBA PAI;665;;TRINDADE;C
ABBA PAI;665;;;
Ó LUZ DO SENHOR;666;;PALAVRA;
Ó LUZ DO SENHOR;666;;REFRÕES;
Ó LUZ DO SENHOR;666;;;
VEM ESPÍRITO SANTO VEM    ;667;;ESPÍRITO SANTO;
VEM ESPÍRITO SANTO VEM;667;;;
GLÓRIA (P. Motta);668;;FESTA;
GLÓRIA (P. Motta);668;;TRINDADE;G
GLÓRIA (P. Motta);668;;;
CANTIAMO IL NOSTRO GRAZIE;669;;FINAL;
CANTIAMO IL NOSTRO GRAZIE;669;;FESTA;
CANTIAMO IL NOSTRO GRAZIE;669;;AGRADECIMENTO;
CANTIAMO IL NOSTRO GRAZIE;669;;REFRÕES;
CANTIAMO IL NOSTRO GRAZIE;669;;;
INDO E VINDO;670;;;
O NOME DE JESUS É DOCE;671;;LOUVOR;
O NOME DE JESUS É DOCE;671;;;
LODE A TE SIGNORE GESÙ    ;672;;QUARESMA;
LODE A TE SIGNORE GESÙ;672;;;
EU ACREDITO NA JUVENTUDE;673;;ANIMAÇÃO;
EU ACREDITO NA JUVENTUDE;673;;;
LOUVAI AO SENHOR;674;;LOUVOR;
LOUVAI AO SENHOR;674;;AGRADECIMENTO;
LOUVAI AO SENHOR;674;;;
ECCOCI GESÙ;675;;OFERTÓRIO;
ECCOCI GESÙ;675;;;
CREDO IN UNUM DEUM;676;;AÇÃO DE GRAÇAS;
CREDO IN UNUM DEUM;676;;;
PADRE NOSTRO (Martellago);677;;PAI NOSSO;
PADRE NOSTRO (Martellago);677;;;
TU TOCASTE NOSSA VIDA;678;;ENTRADA;
TU TOCASTE NOSSA VIDA;678;;;
VEM, Ó JESUS;679;;;
PRESENÇA FORTE EM MIM;680;;AÇÃO DE GRAÇAS;
PRESENÇA FORTE EM MIM;680;;ADORAÇÃO;
PRESENÇA FORTE EM MIM;680;;;
AMÉM (GEN);681;;AMÉM;
AMÉM (GEN);681;;;
HÁ UMA ONDA;682;;AÇÃO DE GRAÇAS;
HÁ UMA ONDA;682;;;
QUAL A PAZ;683;;ANIMAÇÃO;
QUAL A PAZ;683;;;
DIO TRA NOI;684;;AÇÃO DE GRAÇAS;
DIO TRA NOI;684;;;
COMO A OVELHA PERDIDA;685;;;
MISERICÓRDIA;686;;PERDÃO;
MISERICÓRDIA;686;;;
HOJE É DIA DE CELEBRAÇÃO;687;;FESTA;
HOJE É DIA DE CELEBRAÇÃO;687;;AGRADECIMENTO;
HOJE É DIA DE CELEBRAÇÃO;687;;PARA BÊNÇÃO;
HOJE É DIA DE CELEBRAÇÃO;687;;;
ALELUIA (GEN);688;;ALELUIA;
ALELUIA (GEN);688;GEN;;
SOTTO LA TUA PROTEZIONE;689;;;
VIMOS SENHOR TE PEDIR;690;;PERDÃO;
VIMOS SENHOR TE PEDIR;690;;;
SENHOR, EU QUERO OBEDECER;691;;ENTRADA;
SENHOR, EU QUERO OBEDECER;691;;ANIMAÇÃO;G
SENHOR, EU QUERO OBEDECER;691;;;
EU VEJO O REI;692;;AÇÃO DE GRAÇAS;
EU VEJO O REI;692;;LOUVOR ADORAÇÃO;
EU VEJO O REI;692;;;
JESUS MARAVILHOSO;693;;ADORAÇÃO;
JESUS MARAVILHOSO;693;;LOUVOR ADORAÇÃO;
JESUS MARAVILHOSO;693;;;
ÉS TU ÚNICA RAZÃO;694;;FINAL;
ÉS TU ÚNICA RAZÃO;694;;LOUVOR;
ÉS TU ÚNICA RAZÃO;694;;ANIMAÇÃO;D
ÉS TU ÚNICA RAZÃO;694;;;
TE SEGUIREI;695;;AÇÃO DE GRAÇAS;
TE SEGUIREI  ;695;;QUARESMA;
TE SEGUIREI;695;;;
NÓS TE LOUVAMOS;696;;FINAL;
NÓS TE LOUVAMOS;696;;LOUVOR;
NÓS TE LOUVAMOS;696;;ANIMAÇÃO;
NÓS TE LOUVAMOS;696;;;
LODATE DIO POPOLI DEL MONDO;697;;AÇÃO DE GRAÇAS;
LODATE DIO POPOLI DEL MONDO;697;;LOUVOR ADORAÇÃO;
LODATE DIO POPOLI DEL MONDO;697;;REFRÕES;
LODATE DIO POPOLI DEL MONDO;697;;;
CHANTE O MON ÂME;698;;AÇÃO DE GRAÇAS;
CHANTE O MON ÂME;698;;LOUVOR ADORAÇÃO;
CHANTE O MON ÂME;698;;;
SPLENDI GESÙ;699;;FINAL;
SPLENDI GESÙ;699;;REFRÕES;
SPLENDI GESÙ;699;;;
POR CRISTO;700;;;
AMÉM GLÓRIA HOSANA;701;;AMÉM;
AMÉM GLÓRIA HOSANA;701;;;
AMÉM (SOLENE);702;;AMÉM;
AMÉM (SOLENE);702;;;
JESUS O TEU NOME;703;;ADORAÇÃO;
JESUS O TEU NOME;703;;LOUVOR ADORAÇÃO;
JESUS O TEU NOME;703;;;
BENIS-MOI;704;;AÇÃO DE GRAÇAS;
BENIS-MOI;704;;;
LOUVAREI A DEUS;705;;LOUVOR ADORAÇÃO;
LOUVAREI A DEUS;705;;;
ALELUIA (GIOSY CENTO);706;;ALELUIA;
ALELUIA (GIOSY CENTO);706;Giosy Cento;;
NOVO DIA SURGIU;707;;ENTRADA;
NOVO DIA SURGIU;707;;;
ENSINA-NOS O PAI;708;;REFRÕES;
ENSINA-NOS O PAI;708;;TRINDADE;
ENSINA-NOS O PAI;708;;;
EIS QUE FAZES NOVAS;709;;ENTRADA;
EIS QUE FAZES NOVAS;709;;;
TU CI HAI FATTI PER TE;710;;;
BUENO ES ALABAR OH SENHOR;711;;FINAL;
BUENO ES ALABAR OH SENHOR;711;;FESTA;
BUENO ES ALABAR OH SENHOR;711;;AGRADECIMENTO;
BUENO ES ALABAR OH SENHOR;711;;ANIMAÇÃO;G
BUENO ES ALABAR OH SENHOR;711;;;
JESUS (Magnabosco);712;;ADORAÇÃO;
JESUS (Magnabosco);712;;LOUVOR ADORAÇÃO;
JESUS (Magnabosco);712;;;
JESUS CHRIST;713;;AÇÃO DE GRAÇAS;
JESUS CHRIST;713;;ADORAÇÃO;
JESUS CHRIST;713;;;
LA VITA NUOVA NASCE GIÀ;714;;ANIMAÇÃO;
LA VITA NUOVA NASCE GIÀ;714;;;
SIAMO QUI;715;;ANIMAÇÃO;D
SIAMO QUI;715;;;
LA VITA É BELLA;716;;ANIMAÇÃO;
LA VITA É BELLA;716;;;
ANTES DO TEMPO;717;;AÇÃO DE GRAÇAS;
ANTES DO TEMPO;717;;;
JESUS A TI O LOUVOR;718;;ADORAÇÃO;
JESUS A TI O LOUVOR;718;;LOUVOR ADORAÇÃO;
JESUS A TI O LOUVOR;718;;;
MURO BIANCO CHISSÁ;719;;ANIMAÇÃO;
MURO BIANCO CHISSÁ;719;;;
POTENZA DEL TUO NOME;720;;AÇÃO DE GRAÇAS;
POTENZA DEL TUO NOME;720;;ADORAÇÃO;
POTENZA DEL TUO NOME;720;;;
PODER DA TUA CRUZ;721;;AÇÃO DE GRAÇAS;
PODER DA TUA CRUZ;721;;REFRÕES;
PODER DA TUA CRUZ  ;721;;QUARESMA;
PODER DA TUA CRUZ;721;;;
MARIA DIMORA VIVA;722;;MARIA;Em
MARIA DIMORA VIVA;722;;;
HAI ASCOLTATO O DIO;723;;AÇÃO DE GRAÇAS;
HAI ASCOLTATO O DIO;723;;;
DEUS É AMOR (Deus enviou);724;;AÇÃO DE GRAÇAS;
DEUS É AMOR (Deus enviou);724;;TRINDADE;
DEUS É AMOR (Deus enviou);724;;;
SANTO (Shalom);725;;SANTO;
SANTO (VIÇOSA);725;;;
Ó SENHOR ABENÇOA HOJE;726;;OFERTÓRIO;
Ó SENHOR ABENÇOA HOJE;726;;;
LIGHT OF THE WORLD;727;;AÇÃO DE GRAÇAS;
LIGHT OF THE WORLD;727;;;
SOLO TU SEI IL MIO PASTORE;728;;AÇÃO DE GRAÇAS;
SOLO TU SEI IL MIO PASTORE;728;;;
DESDE A AURORA;729;;AÇÃO DE GRAÇAS;
DESDE A AURORA;729;;;
POSSO TUDO POSSO;730;;AÇÃO DE GRAÇAS;
POSSO TUDO POSSO;730;;ADORAÇÃO;
POSSO TUDO POSSO;730;;INTERCESSÃO;
POSSO TUDO POSSO;730;;;
COMO A CORÇA ANSEIA;731;;AÇÃO DE GRAÇAS;
COMO A CORÇA ANSEIA;731;;;
TRINDADE AQUI ESTAMOS;732;;TRINDADE;A
TRINDADE AQUI ESTAMOS;732;;;
MON SEIGNEUR E MON DIEU;733;;AÇÃO DE GRAÇAS;
MON SEIGNEUR E MON DIEU;733;;;
YOU ARE MY WORLD;734;;AÇÃO DE GRAÇAS;
YOU ARE MY WORLD;734;;;
QUE A PAZ HABITE EM TUA CASA  (SL 122);735;;SALMO;
QUE A PAZ HABITE EM TUA CASA  (SL 122);735;;;
AVE MARIA GRATIA PLENA;736;;MARIA;D
AVE MARIA GRATIA PLENA;736;;;
MIO SIGNORE E MIO DIO;737;;REFRÕES;
MIO SIGNORE E MIO DIO;737;;;
ALLELUIA AMEN (YOPOUGON);738;;ALELUIA;
ALLELUIA AMEN (YOPOUGON);738;;;
ESPÍRITO SANTO DESCE SOBRE;739;;ESPÍRITO SANTO;
ESPÍRITO SANTO, DESCE SOBRE NÓS;739;;;
A NOSSA HISTÓRIA;740;;FINAL;
A NOSSA HISTÓRIA;740;;;
TODAS AS NAÇÕES;741;;ENTRADA;
TODAS AS NAÇÕES;741;;;
IL SIGNORE É VICINO;742;;;
ALELUIA BRILHA TUA LUZ;743;;ALELUIA;
ALELUIA BRILHA TUA LUZ;743;;;
GLÓRIA A DEUS (M. Draghi);744;;;
VEM Ó SENHOR VEM;745;;;
HÁ VUYA NAYO MHAMBA;746;;OFERTÓRIO;
HÁ VUYA NAYO MHAMBA;746;;;
INCOMU;747;;;
O SIGNORE DONAGLI;748;;INTERCESSÃO;
O SIGNORE DONAGLI;748;;;
CANTAREI AO SENHOR;749;;LOUVOR ADORAÇÃO;
CANTAREI AO SENHOR;749;;REFRÕES;
CANTAREI AO SENHOR;749;;;
DEUS É AMOR (arrisquemos viver);750;;;
GLÓRIA A DEUS NAS ALTURAS (Eliana Ribeiro);751;;;
GRANDE ÉS TU AMOR;752;;AÇÃO DE GRAÇAS;
GRANDE ÉS TU AMOR;752;;;
ALELUIA (Africa);753;;ALELUIA;
ALELUIA (Africa);753;;;
ALLELUIA KEMBO;754;;ALELUIA;
ALLELUIA KEMBO;754;;;
SANTO (M. Draghi);755;;SANTO;
SANTO (M. DRAGHI);755;;;
SAINT (Cmv Yopougon);756;;SANTO;
SAINT (Cmv Yopougon);756;;;
ALLELUIA SEI RISORTO;757;;ALELUIA;
ALLELUIA SEI RISORTO;757;;;
SHEMA' ISRAEL    ;758;;QUARESMA;
SHEMA' ISRAEL;758;;;
ALZA I TUOI OCCHI;759;;ENTRADA;
ALZA I TUOI OCCHI;759;;;
O REI DA GLÓRIA (Salmo 23);760;;SALMO;
O REI DA GLÓRIA (Salmo 23);760;;;
ESCUTA ISRAEL;761;;PALAVRA;
ESCUTA ISRAEL    ;761;;QUARESMA;
ESCUTA ISRAEL;761;;;
AGNUS DEI;762;;CORDEIRO DE DEUS;
AGNUS DEI;762;;;
SI SENHOR YO CREO;763;;;
PORQUE SEI QUE ESTÁS AQUI;764;;PERDÃO;
PORQUE SEI QUE ESTÁS AQUI;764;;INTERCESSÃO;
PORQUE SEI QUE ESTÁS AQUI;764;;;
TRINDADE QUEREMOS MOSTRAR;765;;TRINDADE;
TRINDADE QUEREMOS MOSTRAR;765;;;
AQUELE QUE VOS CHAMOU;766;;REFRÕES;
AQUELE QUE VOS CHAMOU;766;;;
GLÓRIA E LOUVOR (CF 2011)    ;767;;QUARESMA;
GLÓRIA E LOUVOR (CF 2011);767;;;
ESPÍRITO SANTO DE DEUS    ;768;;ESPÍRITO SANTO;
ESPÍRITO SANTO DE DEUS;768;;;
SIGNORE DA CHI ANDREMO;769;;AÇÃO DE GRAÇAS;
SIGNORE DA CHI ANDREMO;769;;;
PRESENÇA REAL;770;;AÇÃO DE GRAÇAS;
PRESENÇA REAL;770;;LOUVOR ADORAÇÃO;
PRESENÇA REAL;770;;;
BOM É LOUVAR;771;;ANIMAÇÃO;
BOM É LOUVAR;771;;;
BOM E AGRADÁVEL;772;;ENTRADA;
BOM E AGRADÁVEL;772;;;
SINGELA DOCE E PURA;773;;MARIA;
SINGELA DOCE E PURA;773;;;
EU QUERO SER DE DEUS;774;;FINAL;
EU QUERO SER DE DEUS;774;;ANIMAÇÃO;
EU QUERO SER DE DEUS;774;;;
LOUÉ SOIT DIEU;775;;MARIA;
LOUÉ SOIT DIEU;775;;;
CAMINHANDO NAS ESTRADAS;776;;ANIMAÇÃO;
CAMINHANDO NAS ESTRADAS;776;;;
TODO JOELHO SE DOBRARÁ;777;;AÇÃO DE GRAÇAS;
TODO JOELHO SE DOBRARÁ;777;;LOUVOR ADORAÇÃO;
TODO JOELHO SE DOBRARÁ;777;;;
È BELLO STAR CON TE;778;;AÇÃO DE GRAÇAS;
È BELLO STAR CON TE;778;;;
O HOMEM DEIXARÁ;779;;;
HÁ UMA CHUVA DE GRAÇA;780;;ANIMAÇÃO;
HÁ UMA CHUVA DE GRAÇA;780;;;
VENHO SENHOR ME OFERTAR;781;;OFERTÓRIO;
VENHO SENHOR ME OFERTAR;781;;;
TON GRAND AMOUR;782;;;
ABBÀ AVINU;783;;REFRÕES;
ABBÀ AVINU;783;;TRINDADE;
ABBÀ AVINU;783;;;
DE GLORIA EN GLORIA;784;;;
MARIA MÃE (Bruno L.);785;;MARIA;
MARIA MÃE (Bruno L.);785;;;
JE VEUX ME REJOUIR;786;;;
CRIAI EM MIM;787;;PERDÃO;
CRIAI EM MIM;787;;;
IO GRIDERÒ;788;;AÇÃO DE GRAÇAS;
ESPÍRITO SANTO DESCE SOBRE NÓS    ;788;;ESPÍRITO SANTO;
IO GRIDERÒ;788;;;
KYRIE ELÉISON;789;;PERDÃO;
KYRIE ELÉISON;789;;;
OUVE-SE NA TERRA;790;;ENTRADA;
OUVE-SE NA TERRA;790;;;
DESDE O VENTRE;791;;MISSÃO;
DESDE O VENTRE;791;;;
GLORIA ED ONORE;792;;FESTA;
GLORIA ED ONORE;792;;;
TAL COMO SOY;793;;OFERTÓRIO;
TAL COMO SOY;793;;;
UNA LUCE CHE RISCHIARA;794;;MISSÃO;
HALLEUJAH;794;;;
IO GRIDERÒ;795;;REFRÕES;
AGORA QUE CRISTO VIVE;795;;;
PADRE;796;;REFRÕES;
PADRE;796;;TRINDADE;
SANCTUS;796;;;
QUANDO A NOITE FRIA;797;;;
SANTO JMJ 2013;798;;;
HOJE O CÉU SE ABRE;799;;;
 ALELUIA (SHALOM);800;;ALELUIA;
CADA VEZ QUE COMEMOS;804;;COMUNHÃO;
CORDEIRO DE DEUS;806;;CORDEIRO DE DEUS;
Gioia;808;;FINAL;
SEI TU SIGNORE ;809;;OFERTÓRIO;
Ô JESUS DIGNE ES-TU;900;;AÇÃO DE GRAÇAS;
Ô JESUS DIGNE ES-TU;900;;LOUVOR ADORAÇÃO;
KYRIE ELEISON;900;;;
PRENDI SIGNOR DA QUESTE MANI;900;;;
HALLEUJAH;901;;AÇÃO DE GRAÇAS;
DEIXA QUE O TEU RIO;901;;;
SANTO (JAVA);901;;;
GIOIA (CMV);902;;FESTA;
GIOIA (CMV);902;;REFRÕES;
LASCIA CHE IL TUO FIUME;902;;;
FIN DALL'AURORA AL TRAMONTO;902;;;
ALELUIA (Com. Shalom);903;;ALELUIA;
A TU PRESENCIA;903;;;
EU CONFESSO A DEUS;903;;;
GRACIAS SEÑOR;904;;FESTA;
GRACIAS SEÑOR;904;;REFRÕES;
GRACIAS SEÑOR;904;;PARA BÊNÇÃO;
PUPURIHIN KITA;904;;;
ALELUIA;904;;;
AVE MARIA (Elisa E.);905;;MARIA;
OUVI-NOS SENHOR;905;;;
SIAMO FIGLI TUOI (Abbà Padre);905;;;
MARIA SIMPLESMENTE UM DOM;906;;MARIA;
ALLELUIA ACCLAMONS DIEU;906;;;
ALELUYA PERÚ;906;;;
DIEU DE GLOIRE;907;;AÇÃO DE GRAÇAS;
DIEU DE GLOIRE;907;;LOUVOR ADORAÇÃO;
CANTAI AO SENHOR DEUS;907;;;
NELLE TUE MANI;907;;;
MÃE DA COMUNIDADE;908;;MARIA;
Ô JÉSUS DIGNE ES-TU;908;;;
puPURIHIN KITA;909;;FINAL;
CAMINHÁVAMOS TRISTE;909;;;
SU QUESTO ALTARE;910;;OFERTÓRIO;
CRISTO MOVE AS MONTANHAS;910;;;
ELE VEIO PRA NOS DAR A SALVAÇÃO;911;;AÇÃO DE GRAÇAS;
CRISTO TE AMO;911;;;
EU ABRO AS PORTAS;912;;INTERCESSÃO;
LES CIEUX PROCLAMENT;912;;;
CADA VEZ QUE COMEMOS DESTE PÃO;913;;COMUNHÃO;
CADA VEZ QUE COMEMOS DESTE PÃO;913;;AÇÃO DE GRAÇAS;
NO TEU SILENCIO;913;;;
POR ISSO EU TE LOUVO;914;;LOUVOR;
POR ISSO EU TE LOUVO;914;;REFRÕES;
ESPIRITO SANTO, VINDE FALAR EM MIM;914;;;
SANCTUS;915;;SANTO;
SENHOR QUE VIESTES JMJ 2013;915;;;
TODOS REUNIDOS;916;;ANIMAÇÃO;
ALELUIA JMJ 2013;916;;;
SANTO (CMV 2010);917;;SANTO;
ESTOU AQUI;917;;;
REGINA CAELI;918;;ENTRADA;
TU ERES DIOS;918;;AÇÃO DE GRAÇAS;
É O AMOR DE DEUS;918;;;
REGINA CAELI;919;;MARIA;
PROCURO SEGURANÇA;919;;;
SANGUE DERRAMA NESTE ALTAR;920;;AÇÃO DE GRAÇAS;
ONDE ERA TRISTEZA;920;;;
TODOS ESTES DIAS;921;;;
A TUA GRAÇA;922;;FINAL;
A TUA GRAÇA;922;;ANIMAÇÃO;
ONDE ESTARÁ;922;;;
 MEU SENHOR E MEU DEUS;923;;ADORAÇÃO;
REUNIDOS PRA CELEBRAR;923;;;
APOS TE RECONHECER;924;;ADORAÇÃO;
SAI CHE UN SEME;924;;;
SONDA-ME SENHOR;925;;;
TU ÉS SANTO;926;;;
TÚ ES FONTE DE VIDA;927;;;
SENHOR CHAMASTE-ME;928;;;
DÁ-ME UM CORAÇÃO IGUAL AO TEU;929;;;
SANTO É O SENHOR;930;;;
DEUS QUER FALAR COMIGO;931;;;
ALELUIA LUZ PARA O MEU CAMINHO;932;;;
SEJAMOS UM PARA QUE O MUNDO CREIA;933;;;
MARVELOUS LIGHT;934;;;
SANTO ES EL SENÕR;935;;;
GLÓRIA JMJ 2013;936;;;
 PADRE NOSTRO SIAMO QUI;937;;AÇÃO DE GRAÇAS;
EU VOS ESCOLHI E VOS CHAMEI;937;;;
MOSTRAI-NOS;938;;;
VEM ESPÍRITO DE AMOR;939;;;
PRENDI SIGNOR DA QUESTE MANI;950;;OFERTÓRIO;
SANTO (JAVA);951;;SANTO;
FIN DALL'AURORA AL TRAMONTO;952;;ENTRADA;
EU CONFESSO A DEUS;953;;PERDÃO;
ALELUIA;954;;ALELUIA;
SIAMO FIGLI TUOI (Abbà Padre);955;;REFRÃO;
ALELUYA PERÚ;956;;ALELUIA;
NELLE TUE MANI;957;;OFERTÓRIO;
HOY SEÑOR;958;;PARA BÊNÇÃO;
AO SENHOR AGRADECEMOS, ALELUIA;959;;PARA BÊNÇÃO;
GLÓRIA, GLÓRIA A DEUS;960;;PARA BÊNÇÃO;
PAI ESCUTA A NOSSA ORAÇÃO;961;;INTERCESSÃO;
