NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
ANTES DA MORTE;253;;COMUNHÃO;
TE AGRADEÇO Ó SENHOR (SL 56);254;;AÇÃO DE GRAÇAS;
O UNIVERSO CANTA TI;254;;ADORAÇÃO;
MINHA ORAÇÃO;255;;INTERCESSÃO;
GLÓRIA (A Deus no alto dos céus);256;;GLÓRIA;
FIZESTE-O POUCO MENOS (SL 8);257;;SALMO;
FIZESTE-O POUCO MENOS (SL 8);257;;REFRÕES;
ESPÍRITO DE DEUS VEM SOBRE NÓS    ;258;;ESPÍRITO SANTO;
TODOS LE QUIEREN CANTAR;259;;ANIMAÇÃO;G
ORAÇÃO DA FAMÍLIA (Que nenhuma família);260;;;
É TEU ESTE MOMENTO;261;;LOUVOR ADORAÇÃO;
VENHO SENHOR TE RECEBER AGORA;262;;COMUNHÃO;
QUERO TE DAR A PAZ;263;;ABRAÇO DA PAZ;
A TI O LOUVOR;264;;LOUVOR ADORAÇÃO;
A ELE A GLÓRIA;265;;ADORAÇÃO;
A ELE A GLÓRIA;265;;LOUVOR ADORAÇÃO;
VINDE CRISTÃOS;266;;GLÓRIA;
GLÓRIA VINDE CRISTÃOS  - só refrão;266;;PARA BÊNÇÃO;
MARIA LIBERTADORA (Olha por este povo);267;;MARIA;
APERTE A MINHA MÃO;268;;ABRAÇO DA PAZ;
MEU CORAÇÃO É PARA TI;269;;OFERTÓRIO;
FALA SENHOR;270;;PALAVRA;
FALA SENHOR    ;270;;QUARESMA;
LOUVAMOS-TE Ó PAI AMIGO;271;;TRINDADE;D
VAMOS VAMOS VIVER;272;;ABRAÇO DA PAZ;
RENDEI GRAÇAS;273;;AÇÃO DE GRAÇAS;
RENDEI GRAÇAS;273;;ADORAÇÃO;
RENDEI GRAÇAS;273;;LOUVOR ADORAÇÃO;
MARIA MÃE DO FILHO DE DEUS;274;;MARIA;C
VIDA EXTRAORDINÁRIA (Como viver Senhor esta vida);275;;;
OLHA-ME SENHOR;276;;AÇÃO DE GRAÇAS;
OLHA-ME SENHOR;276;;INTERCESSÃO;
OLHA-ME SENHOR;276;;TRINDADE;C
OFERTAR NOSSA VIDA QUEREMOS;277;;OFERTÓRIO;
SANTO (DE TODOS OS SANTOS - S. Libertador);278;;SANTO;
VEM SENHOR ENCHER ESTE LUGAR;279;;ANIMAÇÃO;
SENHOR É BOM ESTAR AQUI;280;;ENTRADA;
EU VIM DE LONGE;281;;ANIMAÇÃO;C
VAI FALAR NO EVANGELHO;282;;PALAVRA;
SANTO (SANTO É O SENHOR);283;;SANTO;
SAIA DE CIMA DO MURO;284;;ANIMAÇÃO;
A MINHA VIDA É DO MESTRE ;285;;AÇÃO DE GRAÇAS;
A MINHA VIDA É DO MESTRE ;285;;ADORAÇÃO;
EU SOU O QUE SOU;286;;AÇÃO DE GRAÇAS;
EU SOU O QUE SOU;286;;INTERCESSÃO;
EU QUERO ESTAR EM TUAS MÃOS Ó PAI;288;;ANIMAÇÃO;C
GLÓRIA A DEUS NAS ALTURAS (Gl. dos pobres);289;;GLÓRIA;
HASHIVENU;290;;REFRÕES;
QUE BOM SENHOR;291;;COMUNHÃO;
LÓUVOR DAS CRIATURAS (Obras do Senhor);292;;SALMO;
SOB A SOMBRA;293;;AÇÃO DE GRAÇAS;
SOB A SOMBRA;293;;ADORAÇÃO;
SOB A SOMBRA;293;;LOUVOR ADORAÇÃO;
GLORIFICAI A DEUS;294;;OFERTÓRIO;
GLORIFICAI A DEUS;294;;LOUVOR;
GLORIFICAI A DEUS;294;;PARA BÊNÇÃO;
GLÓRIA A DEUS NAS ALTURAS (Bendita luz);295;;GLÓRIA;
DIOS DIOS MIO (SL 62);296;;SALMO;
PROCLAMAI (SL 96);297;;SALMO;
PROCLAMAI (SL 96);297;;AÇÃO DE GRAÇAS;
TE ADORO;298;;AÇÃO DE GRAÇAS;
TE ADORO;298;;ADORAÇÃO;
TE ADORO;298;;LOUVOR ADORAÇÃO;
ONIPOTENTE;299;;INTERCESSÃO;
ALELUYA LOS CIELOS;300;;ALELUIA;
ALELUYA LOS CIELOS;300;;;
SEÑOR TEN PIEDAD DE NUESTRAS VIDAS;301;;PERDÃO;
SEÑOR TEN PIEDAD DE NUESTRAS VIDAS;301;;;
